PWS ID,PWS Name,Primacy Agency,Population Served,Violation Type,Compliance Period Begin Date,Compliance Status
050594212,BUG SCHOOL - GYMNASIUM,EPA Region 5,260,Follow-up Or Routine LCR Tap M/R,01-JUL-2013,Returned to Compliance
050594220,BALL CLUB HEAD START,EPA Region 5,25,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
050594221,ONIGUM HEAD START,EPA Region 5,25,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
055294101,GRAND PORTAGE,EPA Region 5,820,Follow-up Or Routine LCR Tap M/R,01-OCT-2010,Returned to Compliance
055294402,VERMILION,EPA Region 5,"2,486",Follow-up Or Routine LCR Tap M/R,01-OCT-2013,Returned to Compliance
055294702,PONSFORD/PINE POINT,EPA Region 5,70,Follow-up Or Routine LCR Tap M/R,01-OCT-2013,Returned to Compliance
055294703,RICE LAKE,EPA Region 5,45,Follow-up Or Routine LCR Tap M/R,01-OCT-2013,Returned to Compliance
055295205,CARTER COMMUNITY,EPA Region 5,"1,040",Follow-up Or Routine LCR Tap M/R,01-OCT-2010,Returned to Compliance
055295509,ZOAR,EPA Region 5,100,Follow-up Or Routine LCR Tap M/R,01-OCT-2011,Returned to Compliance
063500119,NAMBE PUEBLO,EPA Region 6,800,Initial Tap Sampling for Pb and Cu,01-JAN-2010,Returned to Compliance
063500119,NAMBE PUEBLO,EPA Region 6,800,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Open
063500119,NAMBE PUEBLO,EPA Region 6,800,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
063502111,LAGUNA PAGUATE,EPA Region 6,602,Follow-up Or Routine LCR Tap M/R,01-OCT-2014,Returned to Compliance
063504119,NAMBE PUEBLO DEVELOPMENT  CORP.,EPA Region 6,"1,000",Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
063504119,NAMBE PUEBLO DEVELOPMENT  CORP.,EPA Region 6,"1,000",Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
063506008,MESCALERO INN OF THE MT. GODS,EPA Region 6,"14,542",Follow-up Or Routine LCR Tap M/R,01-JUL-2012,Returned to Compliance
063506008,MESCALERO INN OF THE MT. GODS,EPA Region 6,"14,542",Follow-up Or Routine LCR Tap M/R,01-OCT-2010,Returned to Compliance
064026001,PAWNEE TRIBAL COMPLEX,EPA Region 6,485,Follow-up Or Routine LCR Tap M/R,01-OCT-2010,Returned to Compliance
070000006,WINNEBAGO TRIBE POW WOW GROUNDS,EPA Region 7,80,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
070000010,WINNEBAGO TRIBE- THUNDER WAY HOUSING,EPA Region 7,60,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
083090011,CROW AGENCY WATER SYSTEM,EPA Region 8,"1,300",Follow-up Or Routine LCR Tap M/R,01-OCT-2011,Returned to Compliance
083090074,EAGLEMAN COMMUNITY WATER,EPA Region 8,400,Initial Tap Sampling for Pb and Cu,01-JAN-2012,Returned to Compliance
083090075,ROCKY BOY RURAL WATER,EPA Region 8,"1,966",Follow-up Or Routine LCR Tap M/R,01-OCT-2011,Returned to Compliance
083890001,MANDAREE WATER PLANT,EPA Region 8,"1,700",Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
083890003,TWIN BUTTES WATER PLANT,EPA Region 8,415,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Open
083890015,FOUR BEARS WATER TREATMENT PLANT,EPA Region 8,"3,000",Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
083890016,LITTLE SHELL,EPA Region 8,600,Initial Tap Sampling for Pb and Cu,01-JAN-2014,Open
083890016,LITTLE SHELL,EPA Region 8,600,Initial Tap Sampling for Pb and Cu,01-JUL-2013,Open
083890016,LITTLE SHELL,EPA Region 8,600,Follow-up Or Routine LCR Tap M/R,01-JUL-2014,Open
083890017,PARSHALL LUCKY MOUND,EPA Region 8,552,Initial Tap Sampling for Pb and Cu,01-JUL-2013,Open
084690468,CRAZY HORSE SCHOOL,EPA Region 8,328,Initial Tap Sampling for Pb and Cu,01-JUL-2012,Returned to Compliance
084690468,CRAZY HORSE SCHOOL,EPA Region 8,328,Initial Tap Sampling for Pb and Cu,01-JAN-2011,Returned to Compliance
084690471,WANBLEE WATER SYSTEM,EPA Region 8,600,Initial Tap Sampling for Pb and Cu,01-JAN-2013,Returned to Compliance
084690471,WANBLEE WATER SYSTEM,EPA Region 8,600,Initial Tap Sampling for Pb and Cu,01-JUL-2012,Returned to Compliance
084690471,WANBLEE WATER SYSTEM,EPA Region 8,600,Initial Tap Sampling for Pb and Cu,01-JUL-2011,Returned to Compliance
084690471,WANBLEE WATER SYSTEM,EPA Region 8,600,Initial Tap Sampling for Pb and Cu,01-JAN-2011,Returned to Compliance
084690472,POTATO CREEK WATER SYSTEM,EPA Region 8,95,Initial Tap Sampling for Pb and Cu,01-JAN-2011,Returned to Compliance
084690478,WOUNDED KNEE WATER SYSTEM,EPA Region 8,200,Initial Tap Sampling for Pb and Cu,01-JUL-2012,Returned to Compliance
084690478,WOUNDED KNEE WATER SYSTEM,EPA Region 8,200,Follow-up Or Routine LCR Tap M/R,01-JUL-2013,Returned to Compliance
084690478,WOUNDED KNEE WATER SYSTEM,EPA Region 8,200,Follow-up Or Routine LCR Tap M/R,01-OCT-2011,Returned to Compliance
084690481,ALLEN WATER SYSTEM,EPA Region 8,400,Follow-up Or Routine LCR Tap M/R,01-OCT-2011,Returned to Compliance
084690483,WOLF CREEK WATER SYSTEM,EPA Region 8,70,Initial Tap Sampling for Pb and Cu,01-JUL-2012,Returned to Compliance
084690484,WAKPAMNI WATER SYSTEM,EPA Region 8,90,Follow-up Or Routine LCR Tap M/R,01-OCT-2013,Open
084690533,MARTY WATER SYSTEM,EPA Region 8,420,Follow-up Or Routine LCR Tap M/R,01-OCT-2012,Returned to Compliance
084690534,LAKE ANDES TRIBAL HOUSING WATER SYSTEM,EPA Region 8,264,Follow-up Or Routine LCR Tap M/R,01-OCT-2012,Returned to Compliance
084690535,WAGNER NORTH HOUSING WATER SYSTEM,EPA Region 8,180,Follow-up Or Routine LCR Tap M/R,01-OCT-2012,Returned to Compliance
084690536,WAGNER SOUTH HOUSING WATER SYSTEM,EPA Region 8,200,Follow-up Or Routine LCR Tap M/R,01-OCT-2012,Returned to Compliance
084990002,URIAH HEEPS SPRING WATER SYSTEM,EPA Region 8,"1,400",Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Open
084990002,URIAH HEEPS SPRING WATER SYSTEM,EPA Region 8,"1,400",Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Open
084990003,WHITEROCKS WATER SYSTEM,EPA Region 8,500,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
084990003,WHITEROCKS WATER SYSTEM,EPA Region 8,500,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400049,Dishchii' Bikoh Community School - BIA Charter,EPA Region 9,347,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Open
090400071,Cocopah West,EPA Region 9,350,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400073,Cocopah East,EPA Region 9,280,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400083,Sunrise Base Lodge,EPA Region 9,35,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
090400083,Sunrise Base Lodge,EPA Region 9,35,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
090400094,Ak Chin Santa Cruz Commerce Center,EPA Region 9,81,Follow-up Or Routine LCR Tap M/R,01-JUL-2013,Returned to Compliance
090400101,Grand Canyon West,EPA Region 9,"2,097",Follow-up Or Routine LCR Tap M/R,01-JUL-2012,Returned to Compliance
090400101,Grand Canyon West,EPA Region 9,"2,097",Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
090400101,Grand Canyon West,EPA Region 9,"2,097",Follow-up Or Routine LCR Tap M/R,01-JUL-2011,Returned to Compliance
090400101,Grand Canyon West,EPA Region 9,"2,097",Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400101,Grand Canyon West,EPA Region 9,"2,097",Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
090400102,Havasupai Village,EPA Region 9,773,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400106,Polacca,EPA Region 9,"2,600",Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400107,Sipaulovi (Lower Sipaulovi/Lower Mishongnovi),EPA Region 9,523,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400111,SCUA Lower Peridot Bush,EPA Region 9,276,Follow-up Or Routine LCR Tap M/R,01-JUL-2015,Open
090400111,SCUA Lower Peridot Bush,EPA Region 9,276,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
090400111,SCUA Lower Peridot Bush,EPA Region 9,276,Follow-up Or Routine LCR Tap M/R,01-JUL-2013,Returned to Compliance
090400112,SCUA Lower Peridot,EPA Region 9,778,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
090400112,SCUA Lower Peridot,EPA Region 9,778,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
090400112,SCUA Lower Peridot,EPA Region 9,778,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
090400206,Tuba City Community - NTUA,EPA Region 9,"6,732",Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
090400206,Tuba City Community - NTUA,EPA Region 9,"6,732",Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
090400209,White Mesa - NTUA,EPA Region 9,376,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
090400209,White Mesa - NTUA,EPA Region 9,376,Follow-up Or Routine LCR Tap M/R,01-JUL-2014,Returned to Compliance
090400209,White Mesa - NTUA,EPA Region 9,376,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
090400209,White Mesa - NTUA,EPA Region 9,376,Follow-up Or Routine LCR Tap M/R,01-JUL-2013,Returned to Compliance
090400209,White Mesa - NTUA,EPA Region 9,376,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
090400209,White Mesa - NTUA,EPA Region 9,376,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
090400209,White Mesa - NTUA,EPA Region 9,376,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400216,Papago Farms Housing CBP,EPA Region 9,32,Follow-up Or Routine LCR Tap M/R,01-JUL-2014,Returned to Compliance
090400216,Papago Farms Housing CBP,EPA Region 9,32,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
090400237,SCUA Soda Canyon,EPA Region 9,185,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
090400237,SCUA Soda Canyon,EPA Region 9,185,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
090400239,SCUA Cutter,EPA Region 9,562,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
090400239,SCUA Cutter,EPA Region 9,562,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
090400242,SCUA Upper Peridot,EPA Region 9,706,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400242,SCUA Upper Peridot,EPA Region 9,706,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
090400242,SCUA Upper Peridot,EPA Region 9,706,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
090400259,Shungopavi,EPA Region 9,"1,500",Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400273,SCUA Skill Center,EPA Region 9,254,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
090400273,SCUA Skill Center,EPA Region 9,254,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
090400274,Kaibab Village,EPA Region 9,250,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400302,Avi Casino,EPA Region 9,"3,000",Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Open
090400302,Avi Casino,EPA Region 9,"3,000",Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
090400316,Hopi Veterans Center,EPA Region 9,315,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400394,Mishongnovi (Upper Sipaulovi/Upper Mishongnovi),EPA Region 9,450,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
090400394,Mishongnovi (Upper Sipaulovi/Upper Mishongnovi),EPA Region 9,450,Follow-up Or Routine LCR Tap M/R,01-JUL-2013,Returned to Compliance
090400394,Mishongnovi (Upper Sipaulovi/Upper Mishongnovi),EPA Region 9,450,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
090400394,Mishongnovi (Upper Sipaulovi/Upper Mishongnovi),EPA Region 9,450,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400395,Hopi High School - BIA,EPA Region 9,"1,150",Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Open
090400673,Cocopah Casino,EPA Region 9,"4,050",Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400678,Andrade Border Station,EPA Region 9,555,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
090400678,Andrade Border Station,EPA Region 9,555,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090400680,Sleepy Hollow RV,EPA Region 9,189,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Open
090400680,Sleepy Hollow RV,EPA Region 9,189,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
090400680,Sleepy Hollow RV,EPA Region 9,189,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
090400699,SCUA Beverly Hills,EPA Region 9,582,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
090400699,SCUA Beverly Hills,EPA Region 9,582,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
090400701,San Carlos High School,EPA Region 9,575,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
090403011,Dzil Libei (Cameron) Elementary School,EPA Region 9,133,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
090403011,Dzil Libei (Cameron) Elementary School,EPA Region 9,133,Follow-up Or Routine LCR Tap M/R,01-JUL-2013,Returned to Compliance
090403011,Dzil Libei (Cameron) Elementary School,EPA Region 9,133,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
090600156,Tule River Reservation Main,EPA Region 9,"2,250",Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090600160,Stewart Village,EPA Region 9,40,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090600237,California Village,EPA Region 9,555,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090605000,Running Creek Casino Water System (Habematolel),EPA Region 9,450,Follow-up Or Routine LCR Tap M/R,01-JUL-2013,Returned to Compliance
090605015,Round Valley Piner,EPA Region 9,426,Follow-up Or Routine LCR Tap M/R,01-JUL-2012,Returned to Compliance
090605015,Round Valley Piner,EPA Region 9,426,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
090605015,Round Valley Piner,EPA Region 9,426,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090605015,Round Valley Piner,EPA Region 9,426,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
090605015,Round Valley Piner,EPA Region 9,426,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
090605020,Santa Ysabel Canyon,EPA Region 9,33,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090605033,Yurok - Kepel,EPA Region 9,57,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
090605073,Round Valley Agency,EPA Region 9,90,Follow-up Or Routine LCR Tap M/R,01-JUL-2012,Returned to Compliance
090605073,Round Valley Agency,EPA Region 9,90,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
090605073,Round Valley Agency,EPA Region 9,90,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090605073,Round Valley Agency,EPA Region 9,90,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
090605073,Round Valley Agency,EPA Region 9,90,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
090605074,Tule River Apple Valley,EPA Region 9,25,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
090605120,Mitomkai Tribal Water System,EPA Region 9,90,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
090605128,Round Valley Admin. Complex,EPA Region 9,100,Follow-up Or Routine LCR Tap M/R,01-JUL-2013,Returned to Compliance
090605128,Round Valley Admin. Complex,EPA Region 9,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
090605128,Round Valley Admin. Complex,EPA Region 9,100,Follow-up Or Routine LCR Tap M/R,01-JUL-2012,Returned to Compliance
090605128,Round Valley Admin. Complex,EPA Region 9,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090605128,Round Valley Admin. Complex,EPA Region 9,100,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
090605128,Round Valley Admin. Complex,EPA Region 9,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
090605143,Yurok - Terwer Water System,EPA Region 9,300,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Open
090605143,Yurok - Terwer Water System,EPA Region 9,300,Follow-up Or Routine LCR Tap M/R,01-JUL-2015,Open
090605149,Tuolumne - Black Oak Casino,EPA Region 9,"2,600",Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Open
090605158,Campo Casino (Golden Acorn Casino),EPA Region 9,"1,000",Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
090605174,Graton Resort and Casino,EPA Region 9,"9,950",Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
090605177,Round Valley Hidden Oaks Casino and Restaurant,EPA Region 9,175,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
090605177,Round Valley Hidden Oaks Casino and Restaurant,EPA Region 9,175,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
090605177,Round Valley Hidden Oaks Casino and Restaurant,EPA Region 9,175,Follow-up Or Routine LCR Tap M/R,01-JUL-2011,Returned to Compliance
090605177,Round Valley Hidden Oaks Casino and Restaurant,EPA Region 9,175,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
090605177,Round Valley Hidden Oaks Casino and Restaurant,EPA Region 9,175,Follow-up Or Routine LCR Tap M/R,01-JUL-2010,Returned to Compliance
090605177,Round Valley Hidden Oaks Casino and Restaurant,EPA Region 9,175,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
093200168,Nixon,EPA Region 9,800,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
093200169,Wadsworth,EPA Region 9,650,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
093200200,Moapa Paiute Travel Plaza,EPA Region 9,410,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
093200200,Moapa Paiute Travel Plaza,EPA Region 9,410,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
093200360,Walker River Paiute Tribe,EPA Region 9,900,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
093200362,Sutcliffe,EPA Region 9,250,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
093200364,Battle Mountain,EPA Region 9,195,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
093200364,Battle Mountain,EPA Region 9,195,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
093200376,Las Vegas Paiute Colony,EPA Region 9,150,Follow-up Or Routine LCR Tap M/R,01-JUL-2015,Returned to Compliance
093534009,Tse' Yi' Gai High School,EPA Region 9,126,Follow-up Or Routine LCR Tap M/R,01-JUL-2014,Returned to Compliance
093534009,Tse' Yi' Gai High School,EPA Region 9,126,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
093534014,Ojo Encino Day School (New) - BIA,EPA Region 9,192,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
093534014,Ojo Encino Day School (New) - BIA,EPA Region 9,192,Follow-up Or Routine LCR Tap M/R,01-JUL-2011,Returned to Compliance
093534014,Ojo Encino Day School (New) - BIA,EPA Region 9,192,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
093534020,Fort Wingate Community - BIA,EPA Region 9,550,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
093534020,Fort Wingate Community - BIA,EPA Region 9,550,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
093534020,Fort Wingate Community - BIA,EPA Region 9,550,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
093534022,Wingate Elementary School (New) - BIA,EPA Region 9,800,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
093534022,Wingate Elementary School (New) - BIA,EPA Region 9,800,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
101600002,COEUR D'ALENE SUB-AGENCY,EPA Region 10,50,Follow-up Or Routine LCR Tap M/R,01-OCT-2012,Returned to Compliance
101600003,SOUTH LAPWAI,EPA Region 10,220,Follow-up Or Routine LCR Tap M/R,01-OCT-2011,Returned to Compliance
101600009,POCATELLO AIRPORT,EPA Region 10,250,Follow-up Or Routine LCR Tap M/R,01-OCT-2015,Returned to Compliance
101600009,POCATELLO AIRPORT,EPA Region 10,250,Follow-up Or Routine LCR Tap M/R,01-OCT-2011,Returned to Compliance
101600016,CLEARWATER RIVER CASINO & RESORT,EPA Region 10,650,Follow-up Or Routine LCR Tap M/R,01-OCT-2011,Returned to Compliance
101611104,KAMIAH,EPA Region 10,200,Follow-up Or Routine LCR Tap M/R,01-OCT-2015,Open
101611105,NORTH LAPWAI,EPA Region 10,100,Follow-up Or Routine LCR Tap M/R,01-OCT-2011,Returned to Compliance
101612108,BIA NORTH IDAHO,EPA Region 10,240,Follow-up Or Routine LCR Tap M/R,01-OCT-2015,Open
101612109,FORT HALL,EPA Region 10,"3,500",Follow-up Or Routine LCR Tap M/R,01-OCT-2013,Open
104100002,KLA-MO-YA CASINO,EPA Region 10,580,Follow-up Or Routine LCR Tap M/R,01-OCT-2011,Returned to Compliance
104101100,BURNS PAIUTE,EPA Region 10,155,Follow-up Or Routine LCR Tap M/R,01-OCT-2014,Returned to Compliance
104101102,SIMNASHO SCHOOLIE,EPA Region 10,350,Follow-up Or Routine LCR Tap M/R,01-JUL-2015,Returned to Compliance
104101102,SIMNASHO SCHOOLIE,EPA Region 10,350,Follow-up Or Routine LCR Tap M/R,01-JUL-2014,Returned to Compliance
104121119,THREE RIVERS CASINO,EPA Region 10,"2,324",Follow-up Or Routine LCR Tap M/R,01-OCT-2015,Returned to Compliance
104121119,THREE RIVERS CASINO,EPA Region 10,"2,324",Follow-up Or Routine LCR Tap M/R,01-OCT-2013,Returned to Compliance
104121119,THREE RIVERS CASINO,EPA Region 10,"2,324",Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
104121119,THREE RIVERS CASINO,EPA Region 10,"2,324",Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
105300002,LUMMI TRIBAL WATER DISTRICT,EPA Region 10,"3,669",Follow-up Or Routine LCR Tap M/R,01-OCT-2014,Returned to Compliance
105300003,TULALIP BAY WATER DIST #1,EPA Region 10,"5,439",Follow-up Or Routine LCR Tap M/R,01-OCT-2013,Returned to Compliance
105300003,TULALIP BAY WATER DIST #1,EPA Region 10,"5,439",Follow-up Or Routine LCR Tap M/R,01-OCT-2010,Returned to Compliance
105300008,OMAK HUD,EPA Region 10,380,Follow-up Or Routine LCR Tap M/R,01-OCT-2015,Open
105300008,OMAK HUD,EPA Region 10,380,Follow-up Or Routine LCR Tap M/R,01-OCT-2012,Returned to Compliance
